問題 もんだい
解答 かいとう
練習 れんしゅう
復習 ふくしゅう
計画 けいかく
未来 みらい
過去 かこ
現在 げんざい
機会 きかい
目標 もくひょう
社会 しゃかい
技術 ぎじゅつ
科学 かがく
文化 ぶんか
歴史 れきし
自然 しぜん
季節 きせつ
地球 ちきゅう
宇宙 うちゅう
経済 けいざい
政治 せいじ
法律 ほうりつ
教育 きょういく
学問 がくもん
数学 すうがく
物理 ぶつり
化学 かがく
生物 せいぶつ
芸術 げいじゅつ
音楽 おんがく
文学 ぶんがく
詩歌 しいか
新聞 しんぶん
雑誌 ざっし
図書館 としょかん
映画 えいが
写真 しゃしん
料理 りょうり
食事 しょくじ
健康 けんこう
病気 びょうき
治療 ちりょう
休暇 きゅうか
仕事 しごと
趣味 しゅみ
旅行 りょこう
運動 うんどう
競技 きょうぎ
試合 しあい
選手 せんしゅ
応援 おうえん
努力 どりょく
成功 せいこう
失敗 しっぱい
挑戦 ちょうせん
勝利 しょうり
敗北 はいぼく
友情 ゆうじょう
愛情 あいじょう
幸福 こうふく
喜び よろこび
悲しみ かなしみ
怒り いかり
驚き おどろき
希望 きぼう
扶助 ふじょ
琴線 きんせん
辣腕 らつわん
誓願 せいがん
在野 ざいや
肝腎 かんじん
昔日 せきじつ
軽蔑 けいべつ
迅速 じんそく
要衝 ようしょう
累計 るいけい
質朴 しつぼく
哀歌 あいか
格子 こうし
陥没 かんぼつ
畏敬 いけい
清聴 せいちょう
会釈 えしゃく
豊沃 ほうよく
禁固 きんこ
倣う ならう
手向ける たむける
弄ぶ もてあそぶ
繕う つくろう
建立 こんりゅう
懸案 けんあん
凄惨 せいさん
褒賞 ほうしょう
威嚇 いかく
焼酎 しょうちゅう
傑物 けつぶつ
風霜 ふうそう
荘重 そうちょう
銘記 めいき
角逐 かくちく
嘱託 しょくたく
悠揚 ゆうよう
岬 みさき
裾野 すその
煩雑 はんざつ
愛猫 あいびょう
索引 さくいん
碁盤 ごばん
頒布 はんぷ
督促 とくそく
盆栽 ぼんさい
弔辞 ちょうじ
春宵 しゅんしょう
勅令 ちょくれい
成就 じょうじゅ
予鈴 よれい
災厄 さいやく
升目 ますめ
培う つちかう
曖昧 あいまい
憎悪 ぞうお
惰弱 だじゃく
払底 ふってい
相伴 しょうばん
余薫 よくん
空疎 くうそ
通暁 つうぎょう
形骸 けいがい
芳しい かんばしい,こうばしい
繭 まゆ
患う わずらう
勲功 くんこう
篤志家 とくしか
俸給 ほうきゅう
仙境 せんきょう
惰眠 だみん
福音 ふくいん
暁天 ぎょうてん
法被 はっぴ
傍ら かたわら
蔑む さげすむ
拘泥 こうでい
群青 ぐんじょう
堪忍 かんにん
病巣 びょうそう
露顕 ろけん
急騰 きゅうとう
慶事 けいじ
興る おこる
懐郷 かいきょう
勲功 くんこう
生臭 なまぐさ
偽 いつわ
旋回 せんかい
斉唱 せいしょう
傑出 けっしゅつ
勧奨 かんしょう
旗揚 はたあ
病む やむ
放逐 ほうちく
睡魔 すいま
侮辱 ぶじょく
謹呈 きんてい
庶民 しょみん
窯 かま
満遍 まんべん
泰斗 たいと
殉職 じゅんしょく
栓 せん
碁盤 ごばん
和らぐ やわらぐ
棟上 むねあ
下肢 かし
蔵 くら
頑 がん
定款 ていかん
惰眠 だみん
涼しい すずしい
臭い くさい
弔慰 ちょうい
尼 あま
臨む のぞむ
酷似 こくじ
奔放 ほんぽう
償う つぐなう
沸々 ふつふつ
粛然 しゅくぜん
更迭 こうてつ
逐語訳 ちくごやく
靴擦 くつず
披見 ひけん
興廃 こうはい
牛耳 ぎゅうじ
相克 そうこく
模索 もさく
減俸 げんぽう
石窯 いしがま
陥落 かんらく
喪中 もちゅう
顕在 けんざい
還付 かんぷ
伯爵 はくしゃく
賜る たまわる
偏り かたより
縄張 なわば
襟首 えりくび
可塑 かそ
剛直 ごうちょく
磨耗 まもう
苦衷 くちゅう
渓谷 けいこく
据える すえる
感泣 かんきゅう
口幅 くちはば
窯出 かまだ
壮健 そうけん
映える はえる
嫌疑 けんぎ
碁石 ごいし
暁 あかつき
変遷 へんせん
渋い しぶい
渦潮 うずしお
陥る おちいる
漆塗り うるしぬり
直轄 ちょっかつ
藻 も
愚痴 ぐち
値 あたい
頒価 はんか
扶養 ふよう
蚊柱 かばしら
教唆 きょうさ
坪庭 つぼにわ
叙勲 じょくん
安逸 あんいつ
唯美 ゆいび
滋養 じよう
惰性 だせい
汁粉 しるこ
泥沼 どろぬま
渇く かわく
幽囚 ゆうしゅう
争覇 そうは
惰弱 だじゃく
首肯 しゅこう
駐屯 ちゅうとん
妃殿下 ひでんか
貴賓 きひん
遷都 せんと
弔う とむらう
克己心 こっきしん
哀悼 あいとう
要衝 ようしょう
惨禍 さんか
川柳 せんりゅう
垣根 かきね
休診 きゅうしん
仲介 ちゅうかい
逸脱 いつだつ
琴線 きんせん
中州 なかす
叙述 じょじゅつ
鉄瓶 てつびん
酌量 しゃくりょう
剰余 じょうよ
桟道 さんどう
同慶 どうけい
堀 ほり
崇拝 すうはい
粛清 しゅくせい
竜神 りゅうじん
彫塑 ちょうそ
民 たみ
渋々 しぶしぶ
面白 おもしろ
駄文 だぶん
秋涼 しゅうりょう
童 わらべ
享有 きょうゆう
崇敬 すうけい
素朴 そぼく
享年 きょうねん
叙情 じょじょう
