瑞雲 ずいうん
賞牌 しょうはい
蒐集 しゅうしゅう
一瞥 いちべつ
矩形 くけい
砥礪 しれい
杜撰 ずさん
牝牡　ひんぼ
賞翫 しょうがん
尤物 ゆうぶつ
優渥 ゆうあく
秤量 しょうりょう,ひょうりょう
不壊 ふえ
口吻 こうふん
遡上 そじょう
翠嵐 すいらん
清穆 せいぼく
粉黛 ふんたい
桐油 とうゆ
蟹行 かいこう
蛙声 あせい
鉄桶 てっとう
穎才 えいさい
怯弱 きょうじゃく
蓑笠 さりゅう
城砦 じょうさい
辺邑 へんゆう
俗諺 ぞくげん
貴賤 きせん
廟議 びょうぎ
鳴禽 めいきん
舞妓 ぶぎ
暢達 ちょうたつ
紐帯 ちゅうたい,じゅうたい
潟湖 せきこ
夙昔 しゅくせき
辛巳 しんし
鞠訊 きくじん
屑屑 せつせつ
茅茨 ぼうし
馴化 じゅんか
掩蔽 えんぺい
膝行 しっこう
芝蘭 しらん
罫紙 けいし
大嘗会 だいじょうえ
晦渋 かいじゅう
弓箭 きゅうせん
工廠 こうしょう
叩扉 こうひ
禿筆 とくひつ
駁する ばくする
押捺 おうなつ
牒状 ちょうじょう
枕頭 ちんとう
一揖 いちゆう
落胤 らくいん
或問 わくもん
渠魁 きょかい
禰宜 ねぎ
聯亙 れんこう
階梯 かいてい
椿寿 ちんじゅ
壺中 こちゅう
要津 ようしん
袖珍 しゅうちん
挽歌 ばんか
藍綬 らんじゅ
誰何 すいか
戎器 じゅうき
赫灼 かくしゃく
趨向 すうこう
厩肥 きゅうひ
庚申 こうしん
銅壺 どうこ
斯道 しどう
禾穂 かすい
五勺 ごしゃく
膝下 しっか
櫛比 しっぴ
捷報 しょうほう
巽位 そんい
鶯遷 おうせん
托鉢 たくはつ
馨香 けいこう
喧伝 けんでん
快哉 かいさい
老杉 ろうさん
岡阜 こうふ
叢書 そうしょ
杏林 きょうりん
蟬脱 せんだつ
斧斤 ふきん
穎脱 えいだつ
瓶子 へいじ,へいし
椿事 ちんじ
薙髪 ちはつ,ていはつ
戊夜 ぼや
鉛錘 えんすい
爪牙 そうが
赫怒 かくど
外甥 がいせい
詮議 せんぎ
暁闇 ぎょうあん
遁辞 とんじ
豪宕 ごうとう
爾汝 じじょ
荏苒 じんぜん
汀渚 ていしょ
庖厨 ほうちゅう
慧眼 けいがん
昂然 こうぜん
煙霞 えんか
肌膚 きふ
倭訓 わくん
卯酉 ぼうゆう
藪沢 そうたく
檮昧 とうまい
曽遊 そうゆう
鷹揚 おうよう
劉覧 りゅうらん
逐鹿 ちくろく
熊掌 ゆうしょう
允許 いんきょ
艶冶 えんや
有卦 うけ
哀憐 あいれん
剣戟 けんげき
老爺 ろうや
勃如 ぼつじょ
鼎立 ていりつ
郁郁 いくいく
群棲 ぐんせい
綾子 りんず
腫物 しゅもつ
彼此 ひし
上梓 じょうし
孝悌 こうてい
哀咽 あいえつ
坤軸 こんじく
凄艶 せいえん
毀誉 きよ
鶏肋 けいろく
欽慕 きんぼ
膨脹 ぼうちょう
